ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
72,72,Deepak Reddy,49,1,3,3,1
73,73,Aisha Bhat,50,2,4,4,2
74,74,Siddharth Singh,51,3,5,5,1
75,75,Meena Sharma,52,4,6,1,2
76,76,Kavita Joshi,53,5,7,2,1
77,77,Sanjay Reddy,54,6,1,3,2
78,78,Rajesh Bhat,55,7,2,4,1
79,79,Anita Singh,56,8,3,5,2
80,80,Priya Sharma,57,1,4,1,1
81,81,Rahul Joshi,58,2,5,2,2
82,82,Deepak Reddy,59,3,6,3,1
83,83,Aisha Bhat,60,4,7,4,2
84,84,Siddharth Singh,61,5,1,5,1
85,85,Meena Sharma,62,6,2,1,2
86,86,Kavita Joshi,63,7,3,2,1
87,87,Sanjay Reddy,64,8,4,3,2
88,88,Rajesh Bhat,65,1,5,4,1
89,89,Anita Singh,66,2,6,5,2
90,90,Priya Sharma,22,3,7,1,1
91,91,Rahul Joshi,23,4,1,2,2
92,92,Deepak Reddy,24,5,2,3,1
93,93,Aisha Bhat,25,6,3,4,2
94,94,Siddharth Singh,26,7,4,5,1
95,95,Meena Sharma,27,8,5,1,2
96,96,Kavita Joshi,28,1,6,2,1
97,97,Sanjay Reddy,29,2,7,3,2
98,98,Rajesh Bhat,30,3,1,4,1
99,99,Anita Singh,31,4,2,5,2
100,100,Priya Sharma,32,5,3,1,1
101,101,Rahul Joshi,33,6,4,2,2
102,102,Deepak Reddy,34,7,5,3,1
103,103,Aisha Bhat,35,8,6,4,2
104,104,Siddharth Singh,36,1,7,5,1
105,105,Meena Sharma,37,2,1,1,2
106,106,Kavita Joshi,38,3,2,2,1
107,107,Sanjay Reddy,39,4,3,3,2
108,108,Rajesh Bhat,40,5,4,4,1
109,109,Anita Singh,41,6,5,5,2
110,110,Priya Sharma,42,7,6,1,1
111,111,Rahul Joshi,43,8,7,2,2
112,112,Deepak Reddy,44,1,1,3,1
113,113,Aisha Bhat,45,2,2,4,2
114,114,Siddharth Singh,46,3,3,5,1
115,115,Meena Sharma,47,4,4,1,2
116,116,Kavita Joshi,48,5,5,2,1
117,117,Sanjay Reddy,49,6,6,3,2
118,118,Rajesh Bhat,50,7,7,4,1
119,119,Anita Singh,51,8,1,5,2
120,120,Priya Sharma,52,1,2,1,1
121,121,Rahul Joshi,53,2,3,2,2
122,122,Deepak Reddy,54,3,4,3,1
123,123,Aisha Bhat,55,4,5,4,2
124,124,Siddharth Singh,56,5,6,5,1
125,125,Meena Sharma,57,6,7,1,2
126,126,Kavita Joshi,58,7,1,2,1
127,127,Sanjay Reddy,59,8,2,3,2
128,128,Rajesh Bhat,60,1,3,4,1
129,129,Anita Singh,61,2,4,5,2
130,130,Priya Sharma,62,3,5,1,1
131,131,Rahul Joshi,63,4,6,2,2
132,132,Deepak Reddy,64,5,7,3,1
133,133,Aisha Bhat,65,6,1,4,2
134,134,Siddharth Singh,66,7,2,5,1
135,135,Meena Sharma,22,8,3,1,2
136,136,Kavita Joshi,23,1,4,2,1
137,137,Sanjay Reddy,24,2,5,3,2
138,138,Rajesh Bhat,25,3,6,4,1
139,139,Anita Singh,26,4,7,5,2
140,140,Priya Sharma,27,5,1,1,1
141,141,Rahul Joshi,28,6,2,2,2
142,142,Deepak Reddy,29,7,3,3,1
143,143,Aisha Bhat,30,8,4,4,2
144,144,Siddharth Singh,31,1,5,5,1
145,145,Meena Sharma,32,2,6,1,2
146,146,Kavita Joshi,33,3,7,2,1
147,147,Sanjay Reddy,34,4,1,3,2
148,148,Rajesh Bhat,35,5,2,4,1
149,149,Anita Singh,36,6,3,5,2
150,150,Priya Sharma,37,7,4,1,1
151,151,Rahul Joshi,38,8,5,2,2
152,152,Deepak Reddy,39,1,6,3,1
153,153,Aisha Bhat,40,2,7,4,2
154,154,Siddharth Singh,41,3,1,5,1
155,155,Meena Sharma,42,4,2,1,2
156,156,Kavita Joshi,43,5,3,2,1
157,157,Sanjay Reddy,44,6,4,3,2
158,158,Rajesh Bhat,45,7,5,4,1
159,159,Anita Singh,46,8,6,5,2
160,160,Priya Sharma,47,1,7,1,1
161,161,Rahul Joshi,48,2,1,2,2
162,162,Deepak Reddy,49,3,2,3,1
163,163,Aisha Bhat,50,4,3,4,2
164,164,Siddharth Singh,51,5,4,5,1
165,165,Meena Sharma,52,6,5,1,2
166,166,Kavita Joshi,53,7,6,2,1
167,167,Sanjay Reddy,54,8,7,3,2
168,168,Rajesh Bhat,55,1,1,4,1
169,169,Anita Singh,56,2,2,5,2
170,170,Priya Sharma,57,3,3,1,1
171,171,Rahul Joshi,58,4,4,2,2
172,172,Deepak Reddy,59,5,5,3,1
173,173,Aisha Bhat,60,6,6,4,2
174,174,Siddharth Singh,61,7,7,5,1
175,175,Meena Sharma,62,8,1,1,2
176,176,Kavita Joshi,63,1,2,2,1
177,177,Sanjay Reddy,64,2,3,3,2
178,178,Rajesh Bhat,65,3,4,4,1
179,179,Anita Singh,66,4,5,5,2
180,180,Priya Sharma,22,5,6,1,1
181,181,Rahul Joshi,23,6,7,2,2
182,182,Deepak Reddy,24,7,1,3,1
183,183,Aisha Bhat,25,8,2,4,2
184,184,Siddharth Singh,26,1,3,5,1
185,185,Meena Sharma,27,2,4,1,2
186,186,Kavita Joshi,28,3,5,2,1
187,187,Sanjay Reddy,29,4,6,3,2
188,188,Rajesh Bhat,30,5,7,4,1
189,189,Anita Singh,31,6,1,5,2
190,190,Priya Sharma,32,7,2,1,1
191,191,Rahul Joshi,33,8,3,2,2
192,192,Deepak Reddy,34,1,4,3,1
193,193,Aisha Bhat,35,2,5,4,2
194,194,Siddharth Singh,36,3,6,5,1
195,195,Meena Sharma,37,4,7,1,2
196,196,Kavita Joshi,38,5,1,2,1
197,197,Sanjay Reddy,39,6,2,3,2
198,198,Rajesh Bhat,40,7,3,4,1
199,199,Anita Singh,41,8,4,5,2
200,200,Priya Sharma,42,1,5,1,1
201,201,Rahul Joshi,43,2,6,2,2
202,202,Deepak Reddy,44,3,7,3,1
203,203,Aisha Bhat,45,4,1,4,2
204,204,Siddharth Singh,46,5,2,5,1
205,205,Meena Sharma,47,6,3,1,2
206,206,Kavita Joshi,48,7,4,2,1
207,207,Sanjay Reddy,49,8,5,3,2
208,208,Rajesh Bhat,50,1,6,4,1
209,209,Anita Singh,51,2,7,5,2
210,210,Priya Sharma,52,3,1,1,1
211,211,Rahul Joshi,53,4,2,2,2
212,212,Deepak Reddy,54,5,3,3,1
213,213,Aisha Bhat,55,6,4,4,2
214,214,Siddharth Singh,56,7,5,5,1
215,215,Meena Sharma,57,8,6,1,2
216,216,Kavita Joshi,58,1,7,2,1
217,217,Sanjay Reddy,59,2,1,3,2
218,218,Rajesh Bhat,60,3,2,4,1
219,219,Anita Singh,61,4,3,5,2
220,220,Priya Sharma,62,5,4,1,1
221,221,Rahul Joshi,63,6,5,2,2
222,222,Deepak Reddy,64,7,6,3,1
223,223,Aisha Bhat,65,8,7,4,2
224,224,Siddharth Singh,66,1,1,5,1
225,225,Meena Sharma,22,2,2,1,2
226,226,Kavita Joshi,23,3,3,2,1
227,227,Sanjay Reddy,24,4,4,3,2
228,228,Rajesh Bhat,25,5,5,4,1
229,229,Anita Singh,26,6,6,5,2
230,230,Priya Sharma,27,7,7,1,1
231,231,Rahul Joshi,28,8,1,2,2
232,232,Deepak Reddy,29,1,2,3,1
233,233,Aisha Bhat,30,2,3,4,2
234,234,Siddharth Singh,31,3,4,5,1
235,235,Meena Sharma,32,4,5,1,2
236,236,Kavita Joshi,33,5,6,2,1
237,237,Sanjay Reddy,34,6,7,3,2
238,238,Rajesh Bhat,35,7,1,4,1
239,239,Anita Singh,36,8,2,5,2
240,240,Priya Sharma,37,1,3,1,1
241,241,Rahul Joshi,38,2,4,2,2
242,242,Deepak Reddy,39,3,5,3,1
243,243,Aisha Bhat,40,4,6,4,2
244,244,Siddharth Singh,41,5,7,5,1
245,245,Meena Sharma,42,6,1,1,2
246,246,Kavita Joshi,43,7,2,2,1
247,247,Sanjay Reddy,44,8,3,3,2
248,248,Rajesh Bhat,45,1,4,4,1
249,249,Anita Singh,46,2,5,5,2
250,250,Priya Sharma,47,3,6,1,1
251,251,Rahul Joshi,48,4,7,2,2
252,252,Deepak Reddy,49,5,1,3,1
253,253,Aisha Bhat,50,6,2,4,2
254,254,Siddharth Singh,51,7,3,5,1
255,255,Meena Sharma,52,8,4,1,2
256,256,Kavita Joshi,53,1,5,2,1
257,257,Sanjay Reddy,54,2,6,3,2
258,258,Rajesh Bhat,55,3,7,4,1
259,259,Anita Singh,56,4,1,5,2
260,260,Priya Sharma,57,5,2,1,1
261,261,Rahul Joshi,58,6,3,2,2
262,262,Deepak Reddy,59,7,4,3,1
263,263,Aisha Bhat,60,8,5,4,2
264,264,Siddharth Singh,61,1,6,5,1
265,265,Meena Sharma,62,2,7,1,2
266,266,Kavita Joshi,63,3,1,2,1
267,267,Sanjay Reddy,64,4,2,3,2
268,268,Rajesh Bhat,65,5,3,4,1
269,269,Anita Singh,66,6,4,5,2
270,270,Priya Sharma,22,7,5,1,1
271,271,Rahul Joshi,23,8,6,2,2
272,272,Deepak Reddy,24,1,7,3,1
273,273,Aisha Bhat,25,2,1,4,2
274,274,Siddharth Singh,26,3,2,5,1
275,275,Meena Sharma,27,4,3,1,2
276,276,Kavita Joshi,28,5,4,2,1
277,277,Sanjay Reddy,29,6,5,3,2
278,278,Rajesh Bhat,30,7,6,4,1
279,279,Anita Singh,31,8,7,5,2
280,280,Priya Sharma,32,1,1,1,1
281,281,Rahul Joshi,33,2,2,2,2
282,282,Deepak Reddy,34,3,3,3,1
283,283,Aisha Bhat,35,4,4,4,2
284,284,Siddharth Singh,36,5,5,5,1
285,285,Meena Sharma,37,6,6,1,2
286,286,Kavita Joshi,38,7,7,2,1
287,287,Sanjay Reddy,39,8,1,3,2
288,288,Rajesh Bhat,40,1,2,4,1
289,289,Anita Singh,41,2,3,5,2
290,290,Priya Sharma,42,3,4,1,1
291,291,Rahul Joshi,43,4,5,2,2
292,292,Deepak Reddy,44,5,6,3,1
293,293,Aisha Bhat,45,6,7,4,2
294,294,Siddharth Singh,46,7,1,5,1
295,295,Meena Sharma,47,8,2,1,2
296,296,Kavita Joshi,48,1,3,2,1
297,297,Sanjay Reddy,49,2,4,3,2
298,298,Rajesh Bhat,50,3,5,4,1
299,299,Anita Singh,51,4,6,5,2
300,300,Priya Sharma,52,5,7,1,1
301,301,Rahul Joshi,53,6,1,2,2
302,302,Deepak Reddy,54,7,2,3,1
303,303,Aisha Bhat,55,8,3,4,2
304,304,Siddharth Singh,56,1,4,5,1
305,305,Meena Sharma,57,2,5,1,2
306,306,Kavita Joshi,58,3,6,2,1
307,307,Sanjay Reddy,59,4,7,3,2
308,308,Rajesh Bhat,60,5,1,4,1
309,309,Anita Singh,61,6,2,5,2
310,310,Priya Sharma,62,7,3,1,1
311,311,Rahul Joshi,63,8,4,2,2
312,312,Deepak Reddy,64,1,5,3,1
313,313,Aisha Bhat,65,2,6,4,2
314,314,Siddharth Singh,66,3,7,5,1
315,315,Meena Sharma,22,4,1,1,2
316,316,Kavita Joshi,23,5,2,2,1
317,317,Sanjay Reddy,24,6,3,3,2
318,318,Rajesh Bhat,25,7,4,4,1
319,319,Anita Singh,26,8,5,5,2
320,320,Priya Sharma,27,1,6,1,1
321,321,Rahul Joshi,28,2,7,2,2
322,322,Deepak Reddy,29,3,1,3,1
323,323,Aisha Bhat,30,4,2,4,2
324,324,Siddharth Singh,31,5,3,5,1
325,325,Meena Sharma,32,6,4,1,2
326,326,Kavita Joshi,33,7,5,2,1
327,327,Sanjay Reddy,34,8,6,3,2
328,328,Rajesh Bhat,35,1,7,4,1
329,329,Anita Singh,36,2,1,5,2
330,330,Priya Sharma,37,3,2,1,1
331,331,Rahul Joshi,38,4,3,2,2
332,332,Deepak Reddy,39,5,4,3,1
333,333,Aisha Bhat,40,6,5,4,2
334,334,Siddharth Singh,41,7,6,5,1
335,335,Meena Sharma,42,8,7,1,2
336,336,Kavita Joshi,43,1,1,2,1
337,337,Sanjay Reddy,44,2,2,3,2
338,338,Rajesh Bhat,45,3,3,4,1
339,339,Anita Singh,46,4,4,5,2
340,340,Priya Sharma,47,5,5,1,1
341,341,Rahul Joshi,48,6,6,2,2
342,342,Deepak Reddy,49,7,7,3,1
343,343,Aisha Bhat,50,8,1,4,2
344,344,Siddharth Singh,51,1,2,5,1
345,345,Meena Sharma,52,2,3,1,2
346,346,Kavita Joshi,53,3,4,2,1
347,347,Sanjay Reddy,54,4,5,3,2
348,348,Rajesh Bhat,55,5,6,4,1
349,349,Anita Singh,56,6,7,5,2
350,350,Priya Sharma,57,7,1,1,1
351,351,Rahul Joshi,58,8,2,2,2
352,352,Deepak Reddy,59,1,3,3,1
353,353,Aisha Bhat,60,2,4,4,2
354,354,Siddharth Singh,61,3,5,5,1
355,355,Meena Sharma,62,4,6,1,2
356,356,Kavita Joshi,63,5,7,2,1
357,357,Sanjay Reddy,64,6,1,3,2
358,358,Rajesh Bhat,65,7,2,4,1
359,359,Anita Singh,66,8,3,5,2
360,360,Priya Sharma,22,1,4,1,1
361,361,Rahul Joshi,23,2,5,2,2
362,362,Deepak Reddy,24,3,6,3,1
363,363,Aisha Bhat,25,4,7,4,2
364,364,Siddharth Singh,26,5,1,5,1
365,365,Meena Sharma,27,6,2,1,2
366,366,Kavita Joshi,28,7,3,2,1
367,367,Sanjay Reddy,29,8,4,3,2
368,368,Rajesh Bhat,30,1,5,4,1
369,369,Anita Singh,31,2,6,5,2
370,370,Priya Sharma,32,3,7,1,1
371,371,Rahul Joshi,33,4,1,2,2
372,372,Deepak Reddy,34,5,2,3,1
373,373,Aisha Bhat,35,6,3,4,2
374,374,Siddharth Singh,36,7,4,5,1
375,375,Meena Sharma,37,8,5,1,2
376,376,Kavita Joshi,38,1,6,2,1
377,377,Sanjay Reddy,39,2,7,3,2
378,378,Rajesh Bhat,40,3,1,4,1
379,379,Anita Singh,41,4,2,5,2
380,380,Priya Sharma,42,5,3,1,1
381,381,Rahul Joshi,43,6,4,2,2
382,382,Deepak Reddy,44,7,5,3,1
383,383,Aisha Bhat,45,8,6,4,2
384,384,Siddharth Singh,46,1,7,5,1
385,385,Meena Sharma,47,2,1,1,2
386,386,Kavita Joshi,48,3,2,2,1
387,387,Sanjay Reddy,49,4,3,3,2
388,388,Rajesh Bhat,50,5,4,4,1
389,389,Anita Singh,51,6,5,5,2
390,390,Priya Sharma,52,7,6,1,1
391,391,Rahul Joshi,53,8,7,2,2
392,392,Deepak Reddy,54,1,1,3,1
393,393,Aisha Bhat,55,2,2,4,2
394,394,Siddharth Singh,56,3,3,5,1
395,395,Meena Sharma,57,4,4,1,2
396,396,Kavita Joshi,58,5,5,2,1
397,397,Sanjay Reddy,59,6,6,3,2
398,398,Rajesh Bhat,60,7,7,4,1
399,399,Anita Singh,61,8,1,5,2
400,400,Priya Sharma,62,1,2,1,1
401,401,Rahul Joshi,63,2,3,2,2
402,402,Deepak Reddy,64,3,4,3,1
403,403,Aisha Bhat,65,4,5,4,2
404,404,Siddharth Singh,66,5,6,5,1
405,405,Meena Sharma,22,6,7,1,2
406,406,Kavita Joshi,23,7,1,2,1
407,407,Sanjay Reddy,24,8,2,3,2
408,408,Rajesh Bhat,25,1,3,4,1
409,409,Anita Singh,26,2,4,5,2
410,410,Priya Sharma,27,3,5,1,1
411,411,Rahul Joshi,28,4,6,2,2
412,412,Deepak Reddy,29,5,7,3,1
413,413,Aisha Bhat,30,6,1,4,2
414,414,Siddharth Singh,31,7,2,5,1
415,415,Meena Sharma,32,8,3,1,2
416,416,Kavita Joshi,33,1,4,2,1
417,417,Sanjay Reddy,34,2,5,3,2
418,418,Rajesh Bhat,35,3,6,4,1
419,419,Anita Singh,36,4,7,5,2
420,420,Priya Sharma,37,5,1,1,1
421,421,Rahul Joshi,38,6,2,2,2
422,422,Deepak Reddy,39,7,3,3,1
423,423,Aisha Bhat,40,8,4,4,2
424,424,Siddharth Singh,41,1,5,5,1
425,425,Meena Sharma,42,2,6,1,2
426,426,Kavita Joshi,43,3,7,2,1
427,427,Sanjay Reddy,44,4,1,3,2
428,428,Rajesh Bhat,45,5,2,4,1
429,429,Anita Singh,46,6,3,5,2
430,430,Priya Sharma,47,7,4,1,1
431,431,Rahul Joshi,48,8,5,2,2
432,432,Deepak Reddy,49,1,6,3,1
433,433,Aisha Bhat,50,2,7,4,2
434,434,Siddharth Singh,51,3,1,5,1
435,435,Meena Sharma,52,4,2,1,2
436,436,Kavita Joshi,53,5,3,2,1
437,437,Sanjay Reddy,54,6,4,3,2
438,438,Rajesh Bhat,55,7,5,4,1
439,439,Anita Singh,56,8,6,5,2
440,440,Priya Sharma,57,1,7,1,1
441,441,Rahul Joshi,58,2,1,2,2
442,442,Deepak Reddy,59,3,2,3,1
443,443,Aisha Bhat,60,4,3,4,2
444,444,Siddharth Singh,61,5,4,5,1
445,445,Meena Sharma,62,6,5,1,2
446,446,Kavita Joshi,63,7,6,2,1
447,447,Sanjay Reddy,64,8,7,3,2
448,448,Rajesh Bhat,65,1,1,4,1
449,449,Anita Singh,66,2,2,5,2
450,450,Priya Sharma,22,3,3,1,1
451,451,Rahul Joshi,23,4,4,2,2
452,452,Deepak Reddy,24,5,5,3,1
453,453,Aisha Bhat,25,6,6,4,2
454,454,Siddharth Singh,26,7,7,5,1
455,455,Meena Sharma,27,8,1,1,2
456,456,Kavita Joshi,28,1,2,2,1
457,457,Sanjay Reddy,29,2,3,3,2
458,458,Rajesh Bhat,30,3,4,4,1
459,459,Anita Singh,31,4,5,5,2
460,460,Priya Sharma,32,5,6,1,1
461,461,Rahul Joshi,33,6,7,2,2
462,462,Deepak Reddy,34,7,1,3,1
463,463,Aisha Bhat,35,8,2,4,2
464,464,Siddharth Singh,36,1,3,5,1
465,465,Meena Sharma,37,2,4,1,2
466,466,Kavita Joshi,38,3,5,2,1
467,467,Sanjay Reddy,39,4,6,3,2
468,468,Rajesh Bhat,40,5,7,4,1
469,469,Anita Singh,41,6,1,5,2
470,470,Priya Sharma,42,7,2,1,1
471,471,Rahul Joshi,43,8,3,2,2
472,472,Deepak Reddy,44,1,4,3,1
473,473,Aisha Bhat,45,2,5,4,2
474,474,Siddharth Singh,46,3,6,5,1
475,475,Meena Sharma,47,4,7,1,2
476,476,Kavita Joshi,48,5,1,2,1
477,477,Sanjay Reddy,49,6,2,3,2
478,478,Rajesh Bhat,50,7,3,4,1
479,479,Anita Singh,51,8,4,5,2
480,480,Priya Sharma,52,1,5,1,1
481,481,Rahul Joshi,53,2,6,2,2
482,482,Deepak Reddy,54,3,7,3,1
483,483,Aisha Bhat,55,4,1,4,2
484,484,Siddharth Singh,56,5,2,5,1
485,485,Meena Sharma,57,6,3,1,2
486,486,Kavita Joshi,58,7,4,2,1
487,487,Sanjay Reddy,59,8,5,3,2
488,488,Rajesh Bhat,60,1,6,4,1
489,489,Anita Singh,61,2,7,5,2
490,490,Priya Sharma,62,3,1,1,1
491,491,Rahul Joshi,63,4,2,2,2
492,492,Deepak Reddy,64,5,3,3,1
493,493,Aisha Bhat,65,6,4,4,2
494,494,Siddharth Singh,66,7,5,5,1
495,495,Meena Sharma,22,8,6,1,2
496,496,Kavita Joshi,23,1,7,2,1
497,497,Sanjay Reddy,24,2,1,3,2
498,498,Rajesh Bhat,25,3,2,4,1
499,499,Anita Singh,26,4,3,5,2
500,500,Priya Sharma,27,5,4,1,1
501,501,Rahul Joshi,28,6,5,2,2
502,502,Deepak Reddy,29,7,6,3,1
503,503,Aisha Bhat,30,8,7,4,2
504,504,Siddharth Singh,31,1,1,5,1
505,505,Meena Sharma,32,2,2,1,2
506,506,Kavita Joshi,33,3,3,2,1
507,507,Sanjay Reddy,34,4,4,3,2
508,508,Rajesh Bhat,35,5,5,4,1
509,509,Anita Singh,36,6,6,5,2
510,510,Priya Sharma,37,7,7,1,1
511,511,Rahul Joshi,38,8,1,2,2
512,512,Deepak Reddy,39,1,2,3,1
513,513,Aisha Bhat,40,2,3,4,2
514,514,Siddharth Singh,41,3,4,5,1
515,515,Meena Sharma,42,4,5,1,2
516,516,Kavita Joshi,43,5,6,2,1
517,517,Sanjay Reddy,44,6,7,3,2
518,518,Rajesh Bhat,45,7,1,4,1
519,519,Anita Singh,46,8,2,5,2
520,520,Priya Sharma,47,1,3,1,1
521,521,Rahul Joshi,48,2,4,2,2
522,522,Deepak Reddy,49,3,5,3,1
523,523,Aisha Bhat,50,4,6,4,2
524,524,Siddharth Singh,51,5,7,5,1
525,525,Meena Sharma,52,6,1,1,2
526,526,Kavita Joshi,53,7,2,2,1
527,527,Sanjay Reddy,54,8,3,3,2
528,528,Rajesh Bhat,55,1,4,4,1
529,529,Anita Singh,56,2,5,5,2
530,530,Priya Sharma,57,3,6,1,1
531,531,Rahul Joshi,58,4,7,2,2
532,532,Deepak Reddy,59,5,1,3,1
533,533,Aisha Bhat,60,6,2,4,2
534,534,Siddharth Singh,61,7,3,5,1
535,535,Meena Sharma,62,8,4,1,2
536,536,Kavita Joshi,63,1,5,2,1
537,537,Sanjay Reddy,64,2,6,3,2
538,538,Rajesh Bhat,65,3,7,4,1
539,539,Anita Singh,66,4,1,5,2
540,540,Priya Sharma,22,5,2,1,1
541,541,Rahul Joshi,23,6,3,2,2
542,542,Deepak Reddy,24,7,4,3,1
543,543,Aisha Bhat,25,8,5,4,2
544,544,Siddharth Singh,26,1,6,5,1
545,545,Meena Sharma,27,2,7,1,2
546,546,Kavita Joshi,28,3,1,2,1
547,547,Sanjay Reddy,29,4,2,3,2
548,548,Rajesh Bhat,30,5,3,4,1
549,549,Anita Singh,31,6,4,5,2
550,550,Priya Sharma,32,7,5,1,1
551,551,Rahul Joshi,33,8,6,2,2
552,552,Deepak Reddy,34,1,7,3,1
553,553,Aisha Bhat,35,2,1,4,2
554,554,Siddharth Singh,36,3,2,5,1
555,555,Meena Sharma,37,4,3,1,2
556,556,Kavita Joshi,38,5,4,2,1
557,557,Sanjay Reddy,39,6,5,3,2
558,558,Rajesh Bhat,40,7,6,4,1
559,559,Anita Singh,41,8,7,5,2
560,560,Priya Sharma,42,1,1,1,1
561,561,Rahul Joshi,43,2,2,2,2
562,562,Deepak Reddy,44,3,3,3,1
563,563,Aisha Bhat,45,4,4,4,2
564,564,Siddharth Singh,46,5,5,5,1
565,565,Meena Sharma,47,6,6,1,2
566,566,Kavita Joshi,48,7,7,2,1
567,567,Sanjay Reddy,49,8,1,3,2
568,568,Rajesh Bhat,50,1,2,4,1
569,569,Anita Singh,51,2,3,5,2
570,570,Priya Sharma,52,3,4,1,1
571,571,Rahul Joshi,53,4,5,2,2
572,572,Deepak Reddy,54,5,6,3,1
573,573,Aisha Bhat,55,6,7,4,2
574,574,Siddharth Singh,56,7,1,5,1
575,575,Meena Sharma,57,8,2,1,2
576,576,Kavita Joshi,58,1,3,2,1
577,577,Sanjay Reddy,59,2,4,3,2
578,578,Rajesh Bhat,60,3,5,4,1
579,579,Anita Singh,61,4,6,5,2
580,580,Priya Sharma,62,5,7,1,1
581,581,Rahul Joshi,63,6,1,2,2
582,582,Deepak Reddy,64,7,2,3,1
583,583,Aisha Bhat,65,8,3,4,2
584,584,Siddharth Singh,66,1,4,5,1
585,585,Meena Sharma,22,2,5,1,2
586,586,Kavita Joshi,23,3,6,2,1
587,587,Sanjay Reddy,24,4,7,3,2
588,588,Rajesh Bhat,25,5,1,4,1
589,589,Anita Singh,26,6,2,5,2
590,590,Priya Sharma,27,7,3,1,1
591,591,Rahul Joshi,28,8,4,2,2
592,592,Deepak Reddy,29,1,5,3,1
593,593,Aisha Bhat,30,2,6,4,2
594,594,Siddharth Singh,31,3,7,5,1
595,595,Meena Sharma,32,4,1,1,2
596,596,Kavita Joshi,33,5,2,2,1
597,597,Sanjay Reddy,34,6,3,3,2
598,598,Rajesh Bhat,35,7,4,4,1
599,599,Anita Singh,36,8,5,5,2
600,600,Priya Sharma,37,1,6,1,1
601,601,Rahul Joshi,38,2,7,2,2
602,602,Deepak Reddy,39,3,1,3,1
603,603,Aisha Bhat,40,4,2,4,2
604,604,Siddharth Singh,41,5,3,5,1
605,605,Meena Sharma,42,6,4,1,2
606,606,Kavita Joshi,43,7,5,2,1
607,607,Sanjay Reddy,44,8,6,3,2
608,608,Rajesh Bhat,45,1,7,4,1
609,609,Anita Singh,46,2,1,5,2
